,country,stage,excluded_gene,Q,alpha,omega,adaptive_divergence,neutral_divergence,selected_divergence
78,ghana,schizont,PF3D7_1107800,0.0001455519,0.815687,0.139213,0.012056,0.086602,0.01478
79,ghana,schizont,PF3D7_1349500,0.0001455311,0.813691,0.137365,0.011946,0.086968,0.014682
80,ghana,schizont,PF3D7_1248700,0.0001455604,0.813999,0.137672,0.01142,0.082949,0.014029
81,ghana,schizont,PF3D7_0318500,0.0001454996,0.805036,0.129843,0.011555,0.088995,0.014354
82,ghana,schizont,PF3D7_0814400,0.0001455401,0.812694,0.136475,0.01189,0.08712,0.01463
83,ghana,schizont,PF3D7_1361800,0.0001454612,0.815064,0.138552,0.012562,0.090669,0.015413
84,ghana,schizont,PF3D7_1021800,0.0001455498,0.813551,0.137256,0.011949,0.087055,0.014687
85,ghana,schizont,PF3D7_0611800,0.0001455381,0.813641,0.137326,0.011946,0.086993,0.014683
86,ghana,schizont,PF3D7_1206300,0.0001455626,0.813568,0.137284,0.011947,0.087026,0.014685
87,ghana,schizont,PF3D7_0717500,0.0001455084,0.818687,0.141994,0.012195,0.085881,0.014895
88,ghana,schizont,PF3D7_0410700,0.000145515,0.812359,0.136151,0.011883,0.087278,0.014628
89,ghana,schizont,PF3D7_1232500,0.0001455256,0.813525,0.137209,0.011952,0.087106,0.014691
90,ghana,schizont,PF3D7_1247500,0.0001455051,0.815194,0.138713,0.011661,0.084064,0.014304
91,ghana,schizont,PF3D7_0924000,0.0001455203,0.811276,0.135195,0.011867,0.087779,0.014628
92,ghana,schizont,PF3D7_0417400,0.0001455278,0.813944,0.137591,0.011939,0.086773,0.014668
93,ghana,schizont,PF3D7_1434400,0.0001455522,0.813434,0.137152,0.011953,0.087148,0.014694
94,ghana,schizont,PF3D7_0511500,0.0001455543,0.81416,0.137813,0.01193,0.086566,0.014653
95,ghana,schizont,PF3D7_1359900,0.000145525,0.813765,0.137426,0.012134,0.088294,0.014911
96,ghana,schizont,PF3D7_0404800,0.0001455455,0.813465,0.137174,0.011952,0.087131,0.014693
97,ghana,schizont,PF3D7_1030300,0.0001455236,0.812292,0.1361,0.012034,0.08842,0.014815
98,ghana,schizont,PF3D7_0525800,0.0001455114,0.813297,0.13699,0.012024,0.08777,0.014784
99,ghana,schizont,PF3D7_1251200,0.0001455228,0.814593,0.138179,0.011965,0.086592,0.014689
100,ghana,gametocyte,PF3D7_0906400,0.0002159064,0.794444,0.180925,0.015093,0.083421,0.018998
101,ghana,gametocyte,PF3D7_1231400,0.0002159354,0.79483,0.181378,0.01496,0.082481,0.018822
102,ghana,gametocyte,PF3D7_0920000,0.0002159874,0.793073,0.179484,0.014766,0.082271,0.018619
103,ghana,gametocyte,PF3D7_1234100,0.0002154062,0.792054,0.177878,0.013836,0.077781,0.017468
104,ghana,gametocyte,PF3D7_0818800,0.0002158833,0.797542,0.18439,0.015175,0.0823,0.019028
105,ghana,gametocyte,PF3D7_0107700,0.0002158794,0.795594,0.182183,0.015054,0.082631,0.018922
106,ghana,gametocyte,PF3D7_1435200,0.0002158835,0.793854,0.180237,0.015032,0.083401,0.018936
107,ghana,gametocyte,PF3D7_1006000,0.0002158251,0.794816,0.181269,0.014967,0.082569,0.018831
108,ghana,gametocyte,PF3D7_0625100,0.0002159667,0.793878,0.18035,0.015063,0.083519,0.018973
109,ghana,gametocyte,PF3D7_1351600,0.0002159793,0.796244,0.182998,0.015223,0.083188,0.019119
110,ghana,gametocyte,PF3D7_0709900,0.0002159375,0.794871,0.181425,0.014958,0.082449,0.018819
111,ghana,gametocyte,PF3D7_1322100,0.0002156427,0.79408,0.180302,0.014591,0.080926,0.018375
112,ghana,gametocyte,PF3D7_0903600,0.0002157612,0.798555,0.18543,0.015372,0.082902,0.01925
113,ghana,gametocyte,PF3D7_1245800,0.0002160419,0.79555,0.182254,0.014985,0.082222,0.018836
114,ghana,gametocyte,PF3D7_1033500,0.0002159329,0.798864,0.185935,0.014963,0.080477,0.018731
115,ghana,gametocyte,PF3D7_0418800,0.0002159398,0.794849,0.181402,0.015051,0.082972,0.018936
116,ghana,gametocyte,PF3D7_1407400,0.00021579,0.794178,0.180533,0.014997,0.083071,0.018884
117,ghana,gametocyte,PF3D7_1362600,0.0002158167,0.795651,0.182195,0.015076,0.082745,0.018948
118,ghana,gametocyte,PF3D7_0307900,0.0002155145,0.795388,0.181645,0.014959,0.082353,0.018807
119,ghana,gametocyte,PF3D7_0916700,0.0002159215,0.795878,0.182537,0.015132,0.082899,0.019013
120,ghana,gametocyte,PF3D7_0912100,0.0002158545,0.796373,0.183021,0.015035,0.082151,0.01888
121,ghana,gametocyte,PF3D7_0107100,0.0002158364,0.794812,0.181274,0.014967,0.082563,0.01883
122,ghana,gametocyte,PF3D7_0315700,0.0002159401,0.796633,0.183404,0.015245,0.08312,0.019136
123,ghana,gametocyte,PF3D7_1442600,0.0002154147,0.79546,0.181642,0.014961,0.082368,0.018808
124,ghana,gametocyte,PF3D7_0107300,0.0002158822,0.794763,0.181259,0.014966,0.082568,0.018831
125,ghana,gametocyte,PF3D7_0421900,0.0002158991,0.794584,0.181058,0.014981,0.082742,0.018854
126,ghana,gametocyte,PF3D7_1415100,0.0002159187,0.795883,0.18254,0.015102,0.082732,0.018975
127,ghana,gametocyte,PF3D7_1344400,0.0002157869,0.791913,0.178056,0.014781,0.08301,0.018664
128,ghana,gametocyte,PF3D7_1026400,0.000215974,0.795798,0.182475,0.015069,0.082583,0.018936
129,ghana,gametocyte,PF3D7_0404000,0.0002158282,0.794784,0.181236,0.014968,0.082591,0.018833
130,ghana,gametocyte,PF3D7_1342900,0.0002154324,0.781885,0.167443,0.014301,0.085411,0.018291
131,ghana,gametocyte,PF3D7_0405700,0.0002159942,0.798653,0.18576,0.014981,0.080647,0.018758
132,ghana,gametocyte,PF3D7_1322400,0.0002158141,0.795254,0.181731,0.014835,0.081631,0.018654
133,ghana,gametocyte,PF3D7_1146300,0.0002158622,0.794762,0.18124,0.014967,0.082582,0.018832
134,ghana,gametocyte,PF3D7_0728700,0.0002159579,0.794736,0.181275,0.014964,0.082549,0.018829
135,ghana,gametocyte,PF3D7_1218000,0.0002158867,0.796896,0.183657,0.015034,0.08186,0.018866
136,ghana,gametocyte,PF3D7_1427100,0.0002158386,0.792215,0.178409,0.014877,0.083386,0.018779
137,ghana,gametocyte,PF3D7_0801900,0.0002154223,0.795562,0.181761,0.014956,0.082286,0.0188
138,ghana,gametocyte,PF3D7_1131700,0.0002158735,0.794745,0.181231,0.014967,0.082588,0.018833
139,ghana,gametocyte,PF3D7_1031900,0.0002159634,0.794705,0.181262,0.014964,0.082556,0.01883
140,ghana,gametocyte,PF3D7_1201400,0.0002156988,0.794987,0.181353,0.014967,0.082527,0.018826
